Problem,Total_Value,Total_Weight,Selected_Items,Time
10_100_4_2_5,190,190,1-5-9,0.01562356948852539
10_100_4_3_5,182,182,2-4-5-9,0.0
10_100_4_4_5,414,414,2-3-4-6-7-9,0.0
10_100_4_5_5,511,511,1-10-2-4-5-6-7-8,0.0
10_500_1_1_5,1104,472,3-7-8,0.0
10_500_1_2_5,1598,718,3-6-7-8-9,0.0
10_500_1_3_5,1501,1170,3-4-5-6-9,0.0
10_500_1_4_5,2589,1942,1-10-2-3-5-6-9,0.015620946884155273
10_500_1_5_5,1943,2307,1-10-2-3-4-5-6-8-9,0.015624284744262695
10_500_2_1_5,541,495,1-5,0.0
10_500_2_2_5,847,728,2-4-8-9,0.0
10_500_2_3_5,1233,1183,3-4-6-7-9,0.0156402587890625
10_500_2_4_5,1996,1946,1-2-6-7-8-9,0.0
10_500_2_5_5,2418,2307,1-10-2-3-4-5-6-8-9,0.0
10_500_3_1_5,565,545,10-8,0.0
10_500_3_2_5,838,788,4-5-6-7-9,0.0
10_500_3_3_5,1092,1032,2-3-5-6-8-9,0.0
10_500_3_4_5,2077,2007,1-4-5-6-7-8-9,0.0
10_500_3_5_5,2342,2262,1-2-3-4-5-7-8-9,0.0
10_500_4_1_5,545,545,10-8,0.0
10_500_4_2_5,788,788,4-5-6-7-9,0.0
10_500_4_3_5,1032,1032,3-4-5-7-9,0.0
10_500_4_4_5,2013,2013,1-10-2-6-7-9,0.0
10_500_4_5_5,2262,2262,1-2-3-4-5-7-8-9,0.0
10_1000_1_1_5,1185,931,3-7,0.0
10_1000_1_2_5,3009,1753,4-7-8-9,0.0
10_1000_1_3_5,3725,2152,10-2-3-5-6-7,0.0
10_1000_1_4_5,5794,3531,10-2-3-4-5-6-7-9,0.0
10_1000_1_5_5,3376,4799,1-10-2-3-4-6-8-9,0.0
10_1000_2_1_5,1052,931,3-7,0.0
10_1000_2_2_5,2139,1898,1-4-6-7,0.0
10_1000_2_3_5,2148,2181,1-10-2-3-8,0.0
10_1000_2_4_5,3692,3539,1-10-2-4-5-6-9,0.015594482421875
10_1000_2_5_5,5421,5174,1-10-2-4-7-9,0.015593767166137695
10_1000_3_1_5,1156,1136,6-8,0.015641212463378906
10_1000_3_2_5,1983,1953,3-4-5,0.0
10_1000_3_3_5,1589,1529,2-4-5-7-8-9,0.0
10_1000_3_4_5,4740,4670,1-10-3-5-6-7-9,0.0
10_1000_3_5_5,4413,4323,1-10-2-3-5-6-7-8-9,0.0
10_1000_4_1_5,1136,1136,6-8,0.0
10_1000_4_2_5,1953,1953,3-4-5,0.0
10_1000_4_3_5,1532,1532,3-4-5-7-9,0.015622615814208984
10_1000_4_4_5,4676,4676,2-4-5-6-7-8,0.015624284744262695
10_1000_4_5_5,4331,4331,1-10-3-4-6-7-9,0.015643596649169922
50_50_1_1_5,377,180,1-10-11-13-17-18-19-20-21-3-5-9,16.639431476593018
50_50_1_2_5,460,394,1-11-12-13-14-15-16-17-21-3-4-5-6-7-9,12.592881917953491
50_50_1_3_5,401,376,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.827329397201538
50_50_1_4_5,561,382,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.577274084091187
50_50_1_5_5,596,532,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.202362537384033
50_50_2_1_5,211,181,1-10-12-17-21-3-5-6-8-9,11.90542721748352
50_50_2_2_5,421,406,1-10-11-12-13-14-17-18-2-20-22-4-5-6-9,20.73294472694397
50_50_2_3_5,363,373,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.796070575714111
50_50_2_4_5,369,369,1-10-12-14-15-16-17-18-19-20-3-4-5-6-7-8-9,11.4835364818573
50_50_2_5_5,594,598,1-10-11-12-13-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.374192714691162
50_50_3_1_5,332,212,1-11-12-13-14-16-17-5-6-7-8-9,28.451149702072144
50_50_3_2_5,585,395,1-10-11-12-13-14-15-16-19-2-20-21-3-4-5-6-7-8-9,15.561379194259644
50_50_3_3_5,597,407,1-10-11-12-13-14-15-16-17-19-2-20-3-4-5-6-7-8-9,11.867646217346191
50_50_3_4_5,606,416,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.936630487442017
50_50_3_5_5,732,542,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.733538150787354
50_50_4_1_5,212,212,1-11-2-3-4-5-6-8,28.716774463653564
50_50_4_2_5,402,402,1-10-11-12-13-14-15-17-18-2-3-4-6-7-8,28.831596851348877
50_50_4_3_5,409,409,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.592942476272583
50_50_4_4_5,416,416,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.374165296554565
50_50_4_5_5,542,542,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.467955112457275
50_100_1_1_5,951,367,10-11-13-15-16-17-18-19-2-20-3-4-5-9,11.389845371246338
50_100_1_2_5,962,782,11-12-13-14-15-17-18-19-2-20-3-5-6-7-8-9,10.733625173568726
50_100_1_3_5,947,659,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.171113967895508
