Problem,Total_Value,Total_Weight,Selected_Items,Time
500_100_4_1_5,946,946,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.874134540557861
500_100_4_2_5,1062,1062,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.921128034591675
500_100_4_3_5,809,809,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.561713695526123
500_100_4_4_5,1099,1099,1-10-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-9,11.171113967895508
500_100_4_5_5,1242,1242,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8,11.342977523803711
500_500_1_1_5,6043,5350,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.217985391616821
500_500_1_2_5,5571,4996,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.452327728271484
500_500_1_3_5,3951,4726,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.249236106872559
500_500_1_4_5,5711,5332,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.827388763427734
500_500_1_5_5,4658,5075,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.280485153198242
500_500_2_1_5,5235,5234,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-9,11.811699390411377
500_500_2_2_5,4948,4863,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.764888763427734
500_500_2_3_5,4582,4711,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.67104959487915
500_500_2_4_5,5246,5170,1-10-11-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.092978477478027
500_500_2_5_5,5434,5246,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-6-7-8-9,11.421096324920654
500_500_3_1_5,5895,5705,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.077369213104248
500_500_3_2_5,5073,4883,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.483580350875854
500_500_3_3_5,4704,4544,1-10-11-12-15-16-17-18-19-2-20-3-4-6-7-8,11.264827251434326
500_500_3_4_5,6005,5825,1-10-11-12-13-14-15-17-18-19-2-20-3-4-5-6-7-8,10.780515909194946
500_500_3_5_5,4845,4655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.171111583709717
500_500_4_1_5,5705,5705,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.749197483062744
500_500_4_2_5,4883,4883,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,10.843008995056152
500_500_4_3_5,4544,4544,1-10-11-12-15-16-17-18-19-2-20-3-4-6-7-8,11.499215841293335
500_500_4_4_5,6123,6123,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.217954158782959
500_500_4_5_5,4647,4647,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8,11.264800071716309
500_1000_1_1_5,9043,13350,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.15548849105835
500_1000_1_2_5,12406,10478,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-7-8-9,11.514836549758911
500_1000_1_3_5,9951,10226,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.43012285232544
500_1000_1_4_5,11711,9832,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.889879703521729
500_1000_1_5_5,8658,11575,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.233610391616821
500_1000_2_1_5,13720,13275,1-10-11-12-13-14-15-16-17-18-19-2-20-3-4-5-6-8-9,11.936684846878052
500_1000_2_2_5,10948,10836,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.780517339706421
500_1000_2_3_5,10031,10206,1-10-11-12-13-14-15-16-17-18-19-2-20-4-6-7-8-9,11.577275514602661
500_1000_2_4_5,9586,9617,1-10-11-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.061726093292236
500_1000_2_5_5,11833,12026,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.35860013961792
500_1000_3_1_5,12361,12171,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.108585834503174
500_1000_3_2_5,11588,11398,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.405472993850708
500_1000_3_3_5,9742,9572,1-10-11-12-13-15-16-17-18-19-2-20-3-4-6-7-8,11.202363014221191
500_1000_3_4_5,12542,12352,1-10-11-12-13-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.889884948730469
500_1000_3_5_5,9845,9655,1-10-11-12-13-14-16-17-18-19-2-20-3-4-5-6-7-8-9,11.139868974685669
500_1000_4_1_5,12171,12171,1-10-11-12-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,11.71795105934143
500_1000_4_2_5,11398,11398,1-10-11-13-14-15-16-17-18-19-2-20-3-4-5-6-7-8-9,10.905505657196045
500_1000_4_3_5,9477,9477,1-10-11-12-13-15-16-17-18-19-20-3-4-6-7-8,11.780452966690063
500_1000_4_4_5,12297,12297,1-10-11-12-13-14-15-16-18-19-2-20-3-4-5-6-7-8-9,11.320888042449951
500_1000_4_5_5,9619,9619,1-10-11-12-13-15-16-17-19-2-20-3-4-5-6-7-8-9,11.394455194473267
