Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
50_1000_1_2_5,0,38.43431282,7.280754328,3.937226057,0.015625715,0.018052578
50_1000_1_3_5,0,11.88587213,10.08301163,6.874530077,0.015622854,0.017015219
50_1000_1_4_5,0,12.26737022,10.05748677,8.46819067,0.015622616,0.024014473
50_1000_1_5_5,0,11.34742355,10.0467186,10.01492214,0.046868324,0.019001245
50_1000_2_1_5,0,12.82492352,0.078098059,1.98424077,0.015625238,0.070985317
50_1000_2_2_5,0,15.54214907,10.05590677,3.906002283,0,0.060000181
50_1000_2_3_5,0,11.92371893,10.09303141,6.593280554,0.015627861,0.028000116
50_1000_2_4_5,0,11.6412859,10.06984735,8.452549458,0.015619993,0.048999071
50_1000_2_5_5,0,12.4163475,10.04601336,9.889953375,0.031246424,0.017994881
50_1000_3_1_5,0,21.24338174,10.12140369,1.906118631,0.015630007,0.015000582
50_1000_3_2_5,0,11.10855961,10.09222889,4.124715805,0.015623331,0.084015608
50_1000_3_3_5,0,11.96794343,10.08411074,6.486228466,0.031243563,0.020999908
50_1000_3_4_5,0,12.21473122,10.06176543,9.371326685,0.04687047,0.066984653
50_1000_3_5_5,0,11.7868669,10.03954196,10.01493788,0.046891451,0.033951283
50_1000_4_1_5,0,30.32561755,0.093742371,1.562393188,0,0.079982996
50_1000_4_2_5,0,31.65714526,9.936822653,3.546635151,0.015606403,0.044000387
50_1000_4_3_5,0,13.13555717,10.0727613,5.405899286,0,0.053000212
50_1000_4_4_5,0,11.27402568,10.06175971,7.233865976,0.015623808,0.027000427
50_1000_4_5_5,0,11.7335186,10.0461905,9.374376774,0.031250238,0.03399992
100_50_1_1_5,0,11.60852337,10.03476763,0.343726635,0,0.029933929
100_50_1_2_5,0,11.01484346,10.04648042,0.765553236,0,0.016000748
100_50_1_3_5,0,11.24917698,10.02469254,1.281182289,0,0.014020681
100_50_1_4_5,0,12.10848618,10.03056645,1.671761513,0,0.012981415
100_50_1_5_5,0,11.41262269,10.00178933,2.390444756,0.015601158,0.024056196
100_50_2_1_5,0,14.37988114,10.07743359,0.343723774,0,0.018999815
100_50_2_2_5,0,12.17412257,10.03914857,0.703080654,0,0.051001549
100_50_2_3_5,0,11.76561689,10.03056598,1.249914169,0,0.045998812
100_50_2_4_5,0,11.24917626,10.02247787,1.656153202,0,0.018000126
100_50_2_5_5,0,11.41419721,10.01148105,2.34357214,0.015623569,0.024000883
100_50_3_1_5,0,13.53033018,10.03976822,0.343726158,0,0.013000011
100_50_3_2_5,0,10.71801662,10.02776504,0.749952078,0,0.023000002
100_50_3_3_5,0,11.76478529,10.03115511,1.156167746,0,0.022998095
100_50_3_4_5,0,12.80091405,10.01562357,1.678884983,0.015624046,0.044999361
100_50_3_5_5,0,10.99923229,10.01546478,2.109231472,0.015605211,0.01899004
100_50_4_1_5,0,28.52928925,4.783640385,0.28124547,0,0.01398921
100_50_4_2_5,0,12.71957231,10.0461936,0.640561342,0,0.020000219
100_50_4_3_5,0.000998497,11.76939392,10.02317762,0.999953508,0.015623569,0.019999743
100_50_4_4_5,0,11.41951895,10.00730491,1.453025579,0,0.021001101
100_50_4_5_5,0,12.0551517,10.00390148,1.812356949,0,0.011993408
100_100_1_1_5,0,11.7832799,10.03323317,0.703077555,0,0.04094553
100_100_1_2_5,0,11.43526006,10.03869319,1.546769857,0.015623569,0.024004936
100_100_1_3_5,0,11.17105365,10.01815724,2.343590021,0.015623569,0.02699995
100_100_1_4_5,0,12.01625323,10.01854467,3.628599882,0.031266689,0.030001402
100_100_1_5_5,0,11.03866673,10.00129199,4.748311758,0.031246901,0.015000105
100_100_2_1_5,0,11.53040719,10.06109524,0.675350189,0,0.073000908
100_100_2_2_5,0,11.56165457,10.03970838,1.49149847,0,0.025000572
100_100_2_3_5,0,11.38979316,10.01943707,2.615549088,0.015601635,0.027000666
100_100_2_4_5,0,11.37422991,10.02609992,3.401919842,0.015624046,0.029998064
100_100_2_5_5,0,11.43671703,10.04614925,4.405965805,0.031246424,0.031014681
100_100_3_1_5,0,14.15528893,10.03621936,0.687453747,0,0.051000118
100_100_3_2_5,0,10.7648313,10.0305295,1.499892473,0,0.065000534
100_100_3_3_5,0.000998735,11.31172991,10.03057361,2.265473604,0.015643835,0.098000526
100_100_3_4_5,0.00099659,12.40108562,10.00848627,3.343522549,0.031247139,0.065999269
100_100_3_5_5,0,10.99926353,10.00552249,4.452831507,0.046851635,0.048018932
100_100_4_1_5,0,29.12301803,5.813527822,0.578083754,0,0.015047073
