Problem,Greedy_profit,Greedy_weight,Greedy_time,BF_profit,BF_weight,BF_time,B&B_profit,B&B_weight,B&B_time,DP_profit,DP_weight,DP_time,DP_OR_profit,DP_OR_weight,DP_OR_time,IP_OR_profit,IP_OR_weight,IP_OR_time
50_500_2_3_5,6886,6411,0,4582,4711,11.54603124,4693,4203,10.09301233,6925,6439,3.234174252,6925,6439,0,6925,6439,0.096999645
50_500_2_4_5,8734,8231,0,5246,5170,11.24921751,4512,3978,10.09300232,8773,8262,4.140345097,8773,8262,0,8773,8262,0.037998915
50_500_2_5_5,9866,9147,0,5375,5218,11.4210403,4002,3342,10.03835583,9873,9157,4.780922174,9873,9157,0.015623569,9873,9157,0.051016808
50_500_3_1_5,2415,2235,0,2347,2237,29.31046534,2415,2235,4.542511463,2415,2235,1.136436939,2415,2235,0,2415,2235,0.018998861
50_500_3_2_5,4574,4294,0,4541,4351,25.02295208,2260,2070,10.09306312,4632,4352,2.098485708,4632,4352,0,4632,4352,0.070000172
50_500_3_3_5,6070,5720,0,4704,4544,11.32733464,1877,1687,10.05328369,6262,5912,2.992943287,6262,5912,0.01563859,6262,5912,0.104997396
50_500_3_4_5,8853,8453,0,6005,5825,11.96790004,2194,2014,10.06175947,9040,8640,4.562252283,9040,8640,0.015623808,9040,8640,0.086000204
50_500_3_5_5,9999,9549,0,4845,4655,10.9991858,1534,1354,10.03507185,10445,9995,5.499642134,10445,9995,0.031247854,10445,9995,0.170012474
50_500_4_1_5,2232,2232,0,2237,2237,29.16986561,2237,2237,0.09370327,2237,2237,0.765553236,2237,2237,0,2237,2237,0.034013271
50_500_4_2_5,4348,4348,0,4352,4352,28.34178424,4352,4352,10.00444484,4352,4352,1.718632936,4352,4352,0,4352,4352,0.037994862
50_500_4_3_5,5910,5910,0,4544,4544,11.45228481,4451,4451,10.06929517,5912,5912,2.421729326,5912,5912,0,5912,5912,0.025020123
50_500_4_4_5,8639,8639,0,6123,6123,11.21792698,5424,5424,10.06177974,8640,8640,3.687249184,8640,8640,0,8640,8640,0.06899929
50_500_4_5_5,9991,9991,0,4647,4647,11.46792936,4236,4236,10.03621817,9995,9995,4.546549082,9995,9995,0,9995,9995,0.019999743
50_1000_1_1_5,10128,4907,0,5907,5031,12.56160927,10281,5073,0.312456846,10281,5073,2.093607426,10281,5073,0,10281,5073,0.016964912
50_1000_1_2_5,15724,8611,0,11462,8511,38.43431282,15814,8717,7.280754328,15814,8717,3.937226057,15814,8717,0.015625715,15814,8717,0.018052578
50_1000_1_3_5,19867,13600,0,9951,10226,11.88587213,13364,6958,10.08301163,19896,13673,6.874530077,19896,13673,0.015622854,19896,13673,0.017015219
50_1000_1_4_5,21956,16890,0,11711,9832,12.26737022,10747,3785,10.05748677,21988,16917,8.46819067,21988,16917,0.015622616,21988,16917,0.024014473
50_1000_1_5_5,24283,18973,0,7968,7932,11.34742355,13088,2984,10.0467186,23473,18887,10.01492214,24330,19136,0.046868324,24330,19136,0.019001245
50_1000_2_1_5,5644,4936,0,5583,5060,12.82492352,5796,5089,0.078098059,5796,5089,1.98424077,5796,5089,0.015625238,5796,5089,0.070985317
50_1000_2_2_5,9886,8691,0,9018,8714,15.54214907,9917,8696,10.05590677,9961,8721,3.906002283,9961,8721,0,9961,8721,0.060000181
50_1000_2_3_5,14491,13687,0,9733,9843,11.92371893,12011,11097,10.09303141,14634,13691,6.593280554,14634,13691,0.015627861,14634,13691,0.028000116
50_1000_2_4_5,17540,16920,0,9087,9239,11.6412859,9563,8662,10.06984735,17623,16928,8.452549458,17623,16928,0.015619993,17623,16928,0.048999071
50_1000_2_5_5,19881,19150,0,11833,12026,12.4163475,8400,7279,10.04601336,19884,19154,9.889953375,19884,19154,0.031246424,19884,19154,0.017994881
50_1000_3_1_5,4455,4255,0,4680,4570,21.24338174,4015,3825,10.12140369,4770,4570,1.906118631,4770,4570,0.015630007,4770,4570,0.015000582
50_1000_3_2_5,9253,8993,0,9515,9345,11.10855961,5356,5166,10.09222889,9612,9352,4.124715805,9612,9352,0.015623331,9612,9352,0.084015608
50_1000_3_3_5,13317,12977,0,9742,9572,11.96794343,4265,4075,10.08411074,13502,13162,6.486228466,13502,13162,0.031243563,13502,13162,0.020999908
50_1000_3_4_5,17112,16712,0,12072,11892,12.21473122,3666,3486,10.06176543,17706,17306,9.371326685,17706,17306,0.04687047,17705,17305,0.066984653
50_1000_3_5_5,20523,20073,0,9845,9655,11.7868669,2621,2441,10.03954196,21248,20828,10.01493788,21278,20828,0.046891451,21277,20827,0.033951283
50_1000_4_1_5,4555,4555,0,4570,4570,30.32561755,4570,4570,0.093742371,4570,4570,1.562393188,4570,4570,0,4570,4570,0.079982996
