Problem	Greedy_profit	Greedy_weight	Greedy_time	BF_profit	BF_weight	BF_time	B&B_profit	B&B_weight	B&B_time	DP_profit	DP_weight	DP_time	DP_OR_profit	DP_OR_weight	DP_OR_time	IP_OR_profit	IP_OR_weight	IP_OR_time
10_1000_2_5_5	5369	5122	0	5421	5174	0.015593767166137695	5421	5174	0.0	5421	5174	0.5155739784240723	5421	5174	0.0	5421	5174	0.013041496276855469
10_1000_3_1_5	1017	987	0	1156	1136	0.015641212463378906	1156	1136	0.0	1156	1136	0.06249499320983887	1156	1136	0.0	1156	1136	0.013006448745727539
10_1000_3_2_5	1563	1523	0	1983	1953	0.0	1983	1953	0.0	1983	1953	0.14061641693115234	1983	1953	0.0	1983	1953	0.07501602172851562
10_1000_3_3_5	1320	1250	0	1589	1529	0.0	1589	1529	0.0	1589	1529	0.14063143730163574	1589	1529	0.0	1589	1529	0.07401394844055176
10_1000_3_4_5	4287	4217	0	4740	4670	0.0	4740	4670	0.0	4740	4670	0.4374513626098633	4740	4670	0.0	4740	4670	0.08505082130432129
10_1000_3_5_5	4378	4288	0	4413	4323	0.0	4413	4323	0.015627384185791016	4413	4323	0.4374887943267822	4413	4323	0.0	4413	4323	0.01600360870361328
10_1000_4_1_5	1091	1091	0	1136	1136	0.0	1136	1136	0.0	1136	1136	0.046872615814208984	1136	1136	0.0	1136	1136	0.01101994514465332
10_1000_4_2_5	1589	1589	0	1953	1953	0.0	1953	1953	0.0	1953	1953	0.12497234344482422	1953	1953	0.0	1953	1953	0.07796216011047363
10_1000_4_3_5	1489	1489	0	1532	1532	0.015622615814208984	1532	1532	0.0	1532	1532	0.14063429832458496	1532	1532	0.0	1532	1532	0.008039474487304688
10_1000_4_4_5	4438	4438	0	4676	4676	0.015624284744262695	4676	4676	0.0	4676	4676	0.4530942440032959	4676	4676	0.0	4676	4676	0.08101487159729004
10_1000_4_5_5	4304	4304	0	4331	4331	0.015643596649169922	4331	4331	0.0	4331	4331	0.43744993209838867	4331	4331	0.0	4331	4331	0.015017032623291016
50_50_1_1_5	563	181	0	377	180	16.639.431.476.593.000	563	181	2.937.298.536.300.650	563	181	0.07812309265136719	563	181	0.0	563	181	0.017997264862060547
50_50_1_2_5	801	403	0	460	394	12.592.881.917.953.400	651	268	10.046.191.692.352.200	802	406	0.20311188697814941	802	406	0.0	802	406	0.018015623092651367
50_50_1_3_5	1049	535	0	401	376	10.827.329.397.201.500	702	227	10.048.752.307.891.800	1052	539	0.2656209468841553	1052	539	0.0	1052	539	0.033002376556396484
50_50_1_4_5	1283	726	0	561	382	11.577.274.084.091.100	661	163	1.005.042.839.050.290	1283	726	0.3905823230743408	1283	726	0.0	1283	726	0.013002395629882812
50_50_1_5_5	1206	1010	0	596	532	11.202.362.537.384.000	603	238	1.003.852.128.982.540	1209	1024	0.5780837535858154	1209	1024	0.0	1209	1024	0.01999950408935547
50_50_2_1_5	241	181	0	211	181	1.190.542.721.748.350	241	181	0.5872914791107178	241	181	0.07812142372131348	241	181	0.01562356948852539	241	181	0.013033151626586914
50_50_2_2_5	465	404	0	421	406	2.073.294.472.694.390	463	402	10.004.782.438.278.100	466	406	0.1875007152557373	466	406	0.0	466	406	0.017023801803588867
50_50_2_3_5	599	541	0	363	373	11.796.070.575.714.100	335	281	10.064.497.709.274.200	599	541	0.28121089935302734	599	541	0.0	599	541	0.009932279586791992
50_50_2_4_5	793	730	0,000950336	369	369	114.835.364.818.573	353	299	10.046.189.546.585.000	796	730	0.3749723434448242	796	730	0.0	796	730	0.02499866485595703
50_50_2_5_5	1077	1031	0	594	598	11.374.192.714.691.100	520	458	10.061.815.023.422.200	1082	1035	0.5468370914459229	1082	1035	0.0	1082	1035	0.021014928817749023
50_50_3_1_5	405	205	0	332	212	28.451.149.702.072.100	412	212	9.758.405.447.006.220	412	212	0.07812166213989258	412	212	0.0	412	212	0.013999700546264648
50_50_3_2_5	670	380	0	585	395	15.561.379.194.259.600	354	164	100.774.564.743.042	692	402	0.1874830722808838	692	402	0.0	692	402	0.019964933395385742
50_50_3_3_5	893	533	0	597	407	11.867.646.217.346.100	345	165	10.038.499.355.316.100	897	537	0.2812342643737793	897	537	0.0	897	537	0.02700018882751465
50_50_3_4_5	1214	814	0	606	416	11.936.630.487.442.000	356	176	10.031.297.206.878.600	1240	840	0.4218430519104004	1240	840	0.0	1240	840	0.017000436782836914
50_50_3_5_5	1606	1166	0	732	542	11.733.538.150.787.300	394	214	10.041.962.623.596.100	1643	1203	0.6093356609344482	1643	1203	0.0	1643	1203	0.05300116539001465
50_50_4_1_5	212	212	0	212	212	28.716.774.463.653.500	212	212	0.01564931869506836	212	212	0.07811903953552246	212	212	0.0	212	212	0.01200246810913086
50_50_4_2_5	399	399	0	402	402	28.831.596.851.348.800	402	402	6.079.303.503.036.490	402	402	0.1562361717224121	402	402	0.0	402	402	0.018999814987182617
